Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
91811,4,Extend,>>,-67,2.55,419,337,452,-2.6838061202739167,10.055999999999994,-3.7619999999999987,2,-1.675447916305516,-6.19973877081457
91921,4,Extend,>>,-112,-1.32,414,334,443,-1.2460620328247074,6.2759999999999945,-3.7799999999999994,2,-1.7692043322580584,-5.879891081651293
92032,4,Extend,>>,-157,-5.1,404,326,433,-0.5030253365507718,2.4959999999999942,-3.7800000000000002,2,-1.9510486983974271,-5.066136045721892
92144,4,Extend,>>,-202,-8.88,403,319,422,-0.0395984421661118,-1.284000000000006,-3.7800000000000002,2,-1.9688174475218783,-4.972933488833158
92255,4,Extend,>>,-247,-12.75,399,309,408,0.4228390306084989,-5.100000000000006,-3.816,2,-2.0391366485842535,-4.580184170140873
92367,4,Extend,>>,-292,-16.53,388,303,401,0.4956196572445954,-8.916000000000006,-3.816,2,-2.226279139163499,-3.3490166274151627
92478,4,Extend,>>,-337,-20.4,380,300,396,0.9567703126494336,-12.732000000000005,-3.815999999999999,2,-2.3566387233664186,-2.3316905265878565
92589,4,Extend,>>,-382,-24.0,368,300,391,2.4844786073960887,-16.512000000000008,-3.780000000000003,2,-2.543108554445653,-0.6484959752955153
92700,4,Extend,>>,-427,-27.78,354,299,393,3.561021125929905,-20.29200000000001,-3.780000000000001,2,-2.7469012137799567,1.4979787942126508
92812,4,Extend,>>,-472,-31.56,338,298,388,4.133022184197815,-24.05400000000001,-3.7620000000000005,2,-2.9616680197117278,4.1069327608065365
92924,4,Extend,>>,-517,-35.34,325,294,384,4.818967686546192,-27.81600000000001,-3.7620000000000005,2,-3.121919305573459,6.28555317788279
93035,4,Extend,>>,-562,-39.38,320,295,381,5.6730398186076805,-31.612000000000005,-3.795999999999996,2,-3.1801533360608496,7.126345003181902
93147,4,Extend,>>,-607,-43.08,316,295,373,6.477570656898333,-35.42800000000001,-3.816000000000006,2,-3.2253801286669903,7.797393202434221
93256,4,Extend,>>,-652,-46.77,308,289,371,7.602213023145872,-39.226000000000006,-3.7979999999999947,2,-3.3122058957892135,9.129907379854656
93370,4,Extend,>>,-697,-50.64,311,290,372,8.22702523980134,-43.04200000000001,-3.8160000000000025,2,-3.2802130796949514,8.63214432688946
93482,4,Extend,>>,-742,-54.15,305,287,373,8.724909371687506,-46.80400000000001,-3.7620000000000005,2,-3.3435184959915896,9.624736689547692
93594,4,Extend,>>,-787,-58.02,302,283,374,9.328183114847084,-50.532000000000004,-3.7279999999999944,2,-3.3741508803020803,10.116139096142868
93706,4,Extend,>>,-832,-61.71,300,280,368,9.853094560343514,-54.25800000000002,-3.7260000000000133,2,-3.3941945721246927,10.441598179322257
93817,4,Extend,>>,-877,-65.58,299,280,373,10.21366636041346,-58.02,-3.7619999999999862,2,-3.4041030487206845,10.603632152918733
93929,4,Extend,>>,-922,-69.45,297,276,372,10.502618844439702,-61.782000000000004,-3.7620000000000005,2,-3.42369326328204,10.926222267350752
94040,4,Extend,>>,-967,-73.14,299,278,373,10.806186089854606,-65.58000000000001,-3.798000000000009,2,-3.4041030487206845,10.603632152918733
94152,4,Extend,>>,-1012,-77.1,296,275,372,10.880748612583474,-69.396,-3.8159999999999883,2,-3.4333750012474034,11.086744126258123
94263,4,Extend,>>,-1057,-80.79,296,273,375,10.939433987143763,-73.21200000000002,-3.8160000000000167,2,-3.4333750012474034,11.086744126258123
94375,4,Extend,>>,-1102,-84.57,293,271,375,11.309377479547509,-77.01000000000002,-3.798000000000002,2,-3.461966737882236,11.565013995648101
94486,4,Extend,>>,-1147,-88.09,293,268,375,11.46417736886561,-80.738,-3.72799999999998,2,-3.461966737882236,11.565013995648101
94597,4,Extend,>>,-1192,-91.69,289,268,378,11.55167067400383,-84.44800000000001,-3.710000000000008,2,-3.499030939785746,12.194398227073998
94708,4,Extend,>>,-1237,-95.56,294,267,374,11.771775718702251,-88.14000000000001,-3.6920000000000073,2,-3.4525117385475013,11.40615673458924
94819,4,Extend,<<,-1237,-99.08,294,268,377,11.854342225928512,-91.798,-3.657999999999987,2,-3.4525117385475013,11.40615673458924
94930,4,Extend,<<,-1192,-100.4,298,269,381,11.96332271343067,-94.96400000000001,-3.166000000000011,2,-3.4139359457731335,10.765179251293022
95042,4,Extend,<<,-1147,-100.4,305,276,387,12.058431825226162,-97.426,-2.461999999999989,2,-3.3435184959915896,9.624736689547692
95153,4,Extend,<<,-1102,-100.31,305,276,389,12.272726180992478,-99.15,-1.7240000000000038,2,-3.3435184959915896,9.624736689547692
95264,4,Extend,<<,-1057,-96.88,307,277,390,12.45084073938816,-99.41400000000002,-0.26400000000001,2,-3.3227190087335483,9.295201028566233
119147,4,Extend,>>,1282,118.15,491,403,604,7.029466612152586,124.606,-1.0019999999999953,3,-0.11584903188805606,-1.5696631806773227
119257,4,Extend,>>,1237,114.2,490,401,603,5.209456731947018,121.74000000000001,-2.8659999999999854,3,-0.14019320130073698,-1.7861619785492748
