Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD
44172,2,Flex,>>,-622,-46.15,1323,130.18985757374708,151.99071270585677
44275,2,Flex,>>,-682,-51.34,1326,130.95529261896183,153.61525287668994
44377,2,Flex,>>,-742,-56.62,1329,132.5527971817589,153.60465557969323
44480,2,Flex,>>,-802,-61.8,1332,133.35549325987037,154.04396777534893
44582,2,Flex,>>,-862,-66.99,1335,133.73737911609683,154.20791638508314
44684,2,Flex,>>,-922,-72.26,1338,133.64162324767904,155.4943929430848
44787,2,Flex,>>,-982,-77.45,1342,135.64770056204557,155.3191687423611
44889,2,Flex,>>,-1042,-82.73,1345,136.44990535202675,155.77727816920336
44991,2,Flex,>>,-1102,-87.91,1348,137.16364084507583,156.2496531767452
45094,2,Flex,>>,-1162,-93.19,1351,138.31740344460434,157.02220137807538
45196,2,Flex,>>,-1222,-98.37,1354,139.1221732034599,157.14729168925874
45298,2,Flex,>>,-1282,-103.56,1357,139.84011248884707,158.26819176647848
45401,2,Flex,>>,-1342,-108.92,1360,140.71059313749967,159.09759838728172
45504,2,Flex,>>,-1402,-114.11,1363,141.84277341263095,158.5969509680122
45607,2,Flex,>>,-1462,-119.56,1366,142.68398182973397,158.76976942297287
45710,2,Flex,>>,-1522,-124.92,1369,142.88572205087772,159.50158189652714
45813,2,Flex,>>,-1582,-130.2,1372,143.04955846033414,159.39868063107204
45915,2,Flex,>>,-1642,-135.12,1375,143.75423514635932,159.62797347524707
46018,2,Flex,>>,-1702,-140.4,1378,143.75423514635932,161.04391613609334
46120,2,Flex,>>,-1762,-145.41,1382,145.3222057233875,161.16194493302703
46223,2,Flex,>>,-1822,-150.51,1385,145.1339379440023,162.4928369515397
46325,2,Flex,>>,-1882,-155.6,1388,145.66476295028178,162.1228506006239
46428,2,Flex,>>,-1942,-160.79,1391,145.66476295028178,162.72382691067168
46531,2,Flex,>>,-2002,-165.8,1394,146.36440526403487,162.74068290369127
46633,2,Flex,>>,-2062,-170.99,1397,146.28696363199023,163.16111503505368
46736,2,Flex,>>,-2122,-175.82,1400,147.06573915406548,163.34829658387676
46838,2,Flex,>>,-2182,-180.84,1403,147.48893104515156,163.7353685143258
46941,2,Flex,>>,-2242,-185.85,1406,148.1845222644736,164.18851082740102
47044,2,Flex,>>,-2302,-190.86,1409,148.80540202714775,165.22144358739087
47147,2,Flex,>>,-2362,-195.78,1412,148.83899673424077,165.33685754911167
47250,2,Flex,<<,-2362,-200.7,1415,149.16883106936106,165.44454079151137
47353,2,Flex,<<,-2302,-202.11,1419,149.20070056250373,165.6547509768415
47455,2,Flex,<<,-2242,-202.11,1422,149.20070056250373,165.8098259447291
47557,2,Flex,<<,-2182,-197.98,1425,148.87051675468817,166.14000975254467
47660,2,Flex,<<,-2122,-193.14,1428,149.20070056250373,166.0932398075819
47763,2,Flex,<<,-2062,-188.13,1431,149.53502662661643,166.0407804455084
47865,2,Flex,<<,-2002,-182.77,1434,149.89037714210036,166.1252353703867
47968,2,Flex,<<,-1942,-177.67,1437,149.78732295262012,166.48058588587065
48071,2,Flex,<<,-1882,-172.48,1440,149.89037714210036,166.1252353703867
48173,2,Flex,<<,-1822,-167.12,1443,149.5558010200183,166.62086737048995
48275,2,Flex,<<,-1762,-161.85,1446,149.20070056250373,166.9759678280045
48378,2,Flex,<<,-1702,-156.66,1449,149.45299688850739,166.81491194998335
48482,2,Flex,<<,-1642,-151.3,1452,149.7046358008981,166.53365862940078
48584,2,Flex,<<,-1582,-146.29,1455,148.76391988292823,167.50398895556253
48687,2,Flex,<<,-1522,-140.75,1459,149.34539313043922,166.73434918007996
48789,2,Flex,<<,-1462,-135.56,1462,149.01555879531892,167.3828564097941
48891,2,Flex,<<,-1402,-130.37,1465,149.19788993200441,166.5810205133565
48994,2,Flex,<<,-1342,-125.1,1468,149.19788993200441,166.5810205133565
49096,2,Flex,<<,-1282,-119.82,1471,149.78072256103118,166.0932398075819
49199,2,Flex,<<,-1222,-114.46,1474,149.09164555545203,166.93991371112014
49301,2,Flex,<<,-1162,-109.27,1477,149.09164555545203,166.49890295030832
49404,2,Flex,<<,-1102,-103.91,1480,148.98059850693667,166.86192575380375
49507,2,Flex,<<,-1042,-98.64,1483,148.65534211718716,166.46265431987658
49610,2,Flex,<<,-982,-93.45,1486,148.98540564721918,166.61571809362368
49712,2,Flex,<<,-922,-88.26,1489,148.73311034837528,166.46265431987658
49815,2,Flex,<<,-862,-82.9,1492,148.98540564721918,166.46265431987658
49917,2,Flex,<<,-802,-77.63,1495,148.4119674911051,166.93686095089387
50020,2,Flex,<<,-742,-72.44,1499,148.53994980197095,166.82934230230177
50122,2,Flex,<<,-682,-67.08,1502,148.53994980197095,166.82934230230177
50224,2,Flex,<<,-622,-61.8,1505,148.664262789949,166.64881414718812
50327,2,Flex,<<,-562,-56.44,1508,148.664262789949,166.49678713145448
50430,2,Flex,<<,-502,-51.25,1511,148.54972065282132,167.14993884174785
50532,2,Flex,<<,-442,-46.07,1514,148.54972065282132,167.14993884174785
50634,2,Flex,<<,-382,-40.79,1517,148.664262789949,166.49678713145448
50737,2,Flex,<<,-322,-35.6,1520,148.664262789949,166.7837971771468
50839,2,Flex,<<,-262,-30.15,1523,148.46996196292758,167.30300261549493
50941,2,Flex,<<,-202,-24.97,1526,148.54972065282132,167.30300261549493
51044,2,Flex,<<,-142,-19.6,1529,148.29812112534796,167.43542713974279
51147,2,Flex,<<,-82,-14.42,1532,148.664262789949,166.93686095089387
51249,2,Flex,<<,-22,-9.05,1535,148.91586231742238,166.93686095089387
51351,2,Flex,<<,38,-3.96,1538,148.9963235915621,167.22336518692524
51454,2,Flex,<<,98,1.32,1542,148.7437264483974,167.22336518692524
51556,2,Flex,<<,158,6.77,1545,148.98540564721918,166.90222232965505
51659,2,Flex,<<,218,11.96,1548,148.4119674911051,167.66494597294795
51761,2,Flex,<<,278,17.23,1551,149.06486930566763,167.62819290436505
51863,2,Flex,<<,338,22.33,1554,149.06486930566763,167.62819290436505
51966,2,Flex,<<,398,27.78,1557,148.81156744103887,167.78735772002162
52068,2,Flex,<<,458,32.97,1560,149.2532968118639,167.70856108167138
52171,2,Flex,<<,518,38.24,1563,149.83331690356133,167.66504483358372
52274,2,Flex,<<,578,43.52,1566,149.39012569541708,168.91819250860172
52376,2,Flex,<<,638,48.7,1569,149.8296809694041,168.50450010309052
52478,2,Flex,<<,698,54.15,1572,150.0130562943217,168.59220789979977
