Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
94829,5,Extend,<<,-2435,-210.55,357,271,365,2653,9.93597501774127,-0.4905425561736365,10.172731003495008,-0.3722803745584288
94940,5,Extend,<<,-2391,-211.6,357,270,365,2656,8.91622423966163,-1.1045759263491277,9.072768195633769,-1.4022435069310277
95051,5,Extend,<<,-2347,-210.55,362,274,370,2659,8.066966534516638,-2.0284298439274835,8.201761968453592,-2.3681595128155326
95162,5,Extend,<<,-2303,-207.47,363,275,371,2663,6.984495339334103,-3.576799865093875,7.074844206785904,-3.5340170315220742
95274,5,Extend,<<,-2259,-203.69,367,275,373,2666,6.17854371828318,-3.87348972434458,6.4156359190770615,-4.314252519938234
95385,5,Extend,<<,-2215,-199.74,369,276,372,2669,5.533379567576873,-4.989006943854292,5.716271739532674,-5.001186086902247
95496,5,Extend,<<,-2171,-196.04,372,276,373,2673,4.7145490159030885,-5.717620738408698,4.842788734642074,-5.716575971078979
95607,5,Extend,<<,-2127,-192.35,371,277,373,2676,4.707537493502372,-6.4630639365403795,4.445402905208973,-6.379752864372516
95717,5,Extend,<<,-2083,-188.48,373,277,370,2679,3.989882589531163,-7.312154865298226,4.0494427510835935,-7.450003391006584
95828,5,Extend,<<,-2039,-184.44,374,278,368,2683,2.3067399620431672,-8.860720937830195,2.5839752408752483,-8.642012979770536
95940,5,Extend,<<,-1995,-180.48,372,278,369,2686,1.482910957073159,-9.41837674097414,1.4745502852214227,-9.262347858967164
96052,5,Extend,<<,-1951,-176.79,373,279,367,2689,0.8003546373972199,-9.875596073266422,0.9180755735185602,-10.250654334413776
96164,5,Extend,<<,-1907,-172.92,374,280,368,2693,-0.43271267251461154,-10.950841064570511,-0.22769826602082782,-10.92001000350437
96276,5,Extend,<<,-1863,-169.05,374,280,366,2696,-1.6545761863990265,-10.470773340599067,-1.1766172155214565,-11.202483471745918
96387,5,Extend,<<,-1819,-165.19,374,283,367,2699,-1.9830610290561594,-11.88355169148295,-1.9296400913110643,-11.845957973367412
96498,5,Extend,<<,-1775,-161.32,373,282,366,2703,-2.5933236876498142,-13.340743179564072,-2.7459144986493254,-12.823039734157797
96609,5,Extend,<<,-1731,-157.36,375,281,365,2706,-3.616726757341695,-13.52913427383885,-3.7609624375086526,-13.45995516088059
96720,5,Extend,<<,-1687,-153.49,373,282,365,2709,-4.184916125118406,-13.85299533097617,-4.468864156384982,-13.783475721797828
96830,5,Extend,<<,-1643,-149.63,374,283,365,2713,-5.683954704701051,-13.908327186350448,-5.333535844751564,-14.163674450274602
96940,5,Extend,<<,-1599,-145.76,373,282,364,2716,-6.162395035191224,-14.27717703978513,-6.131704002538648,-14.778309651290495
97049,5,Extend,<<,-1555,-141.98,374,282,364,2719,-6.738475489837015,-15.523049157589213,-6.70036411707721,-15.439019097355033
97159,5,Extend,<<,-1511,-138.02,373,283,366,2723,-7.598564961488506,-16.3555846750927,-7.5606915778672,-16.253555334826206
97269,5,Extend,<<,-1467,-134.15,373,284,367,2726,-8.776953666354132,-16.758424848741868,-8.378253440203714,-16.967441280831395
97379,5,Extend,<<,-1423,-130.29,375,281,368,2729,-9.013413333688561,-17.59328477736898,-9.18954261969888,-17.46510474029389
97488,5,Extend,<<,-1379,-126.42,375,285,370,2732,-9.91818972805288,-18.01196543599829,-10.035865212705094,-17.796405584112414
97598,5,Extend,<<,-1335,-122.64,374,285,374,2736,-10.309185504190253,-18.450548000187837,-10.633779734965874,-18.404767089979316
97709,5,Extend,<<,-1291,-118.86,374,285,375,2739,-10.668336614615242,-19.23894082771031,-10.851675346637231,-19.161047384534143
97819,5,Extend,<<,-1247,-114.9,375,284,379,2742,-10.993269863151255,-20.070320428067333,-11.15751869594503,-19.70131974919888
97929,5,Extend,<<,-1203,-111.12,376,284,385,2746,-11.148671387439805,-20.47227951974193,-11.439184092948437,-20.47075761728071
98039,5,Extend,<<,-1159,-107.16,376,285,392,2749,-12.02114908326746,-20.643467397250333,-11.831840836015472,-20.94405500839313
98149,5,Extend,<<,-1115,-103.38,375,285,400,2752,-12.320599597914253,-21.725231760408803,-12.130448443340246,-21.386557316405263
98259,5,Extend,<<,-1071,-99.52,377,287,404,2756,-12.143171194878818,-22.624855652223005,-12.445945337516491,-22.185101740907896
98368,5,Extend,<<,-1027,-95.65,376,285,406,2759,-12.385422518920478,-22.356066252907766,-12.609725012464295,-22.651172616959833
98478,5,Extend,<<,-983,-91.78,375,285,414,2762,-13.009337785085108,-22.682792109954136,-12.751207092138817,-22.983990161646716
98588,5,Extend,<<,-939,-87.82,375,286,425,2765,-12.918593685062774,-23.098823236599117,-12.89212316725575,-23.06086680273237
98697,5,Extend,<<,-895,-83.96,376,285,437,2769,-13.046600128729466,-23.098823236599117,-12.722762922074377,-23.26174881901151
98807,5,Extend,<<,-851,-80.18,374,286,442,2772,-12.179655955515585,-23.76679449251185,-12.622821826483278,-23.451464945958946
98916,5,Extend,<<,-807,-76.22,375,285,456,2775,-13.008411896150193,-23.083922662380132,-12.828019156019916,-23.497313151767614
99026,5,Extend,<<,-763,-72.35,376,286,460,2779,-12.440242252770702,-23.918686249265477,-12.589436557874329,-23.801894136347876
99136,5,Extend,<<,-719,-68.48,375,286,487,2782,-12.236560570887406,-23.815655231466906,-12.11350403834528,-23.86127558668465
99245,5,Extend,<<,-675,-64.53,375,286,486,2785,-11.762881966633017,-23.758736194725913,-11.858706612589913,-23.321203631951814
99355,5,Extend,<<,-631,-60.66,374,286,485,2788,-12.082234264941718,-22.605826691713816,-11.579650346150473,-22.724470383051738
99465,5,Extend,<<,-587,-56.88,376,285,495,2792,-10.69946593919991,-22.187179567805572,-10.658841999643922,-22.424830292742875
99575,5,Extend,<<,-543,-53.1,376,286,502,2795,-9.4945071038361,-22.090657914308224,-9.863581190458527,-21.83116454803774
99685,5,Extend,<<,-499,-49.05,376,286,500,2798,-8.898053408530814,-21.292071871532983,-9.068343097867585,-21.28927399811957
99794,5,Extend,<<,-455,-45.19,376,288,507,2802,-7.93666870215489,-20.95254947471659,-8.152796065425614,-20.992842389022783
99904,5,Extend,<<,-411,-41.23,375,284,513,2805,-8.011978774339667,-20.072083239522726,-7.496829638803208,-20.36268011270194
100013,5,Extend,<<,-367,-37.54,376,286,510,2808,-6.48682169966321,-19.680348515580164,-6.606300156143773,-19.827083796636714
100123,5,Extend,<<,-323,-33.58,375,286,508,2811,-6.099370272936625,-19.65936523593865,-5.565331737113983,-19.584254523490344
100233,5,Extend,<<,-279,-29.71,376,286,508,2815,-4.754968853542351,-18.537492223828792,-4.584153808835503,-18.822275509715915
100342,5,Extend,<<,-235,-25.85,376,287,507,2818,-4.541311616899549,-18.14431758369051,-4.156040649029485,-18.246049895715203
100453,5,Extend,<<,-191,-21.89,375,287,507,2821,-3.7100156357459184,-17.392847084119012,-3.6467711747619087,-17.436863014200558
100562,5,Extend,<<,-147,-18.02,375,285,506,2825,-2.350827236408577,-16.315413812249346,-2.4933640589836537,-16.352190577254184
100672,5,Extend,<<,-103,-14.15,373,287,505,2828,-2.1583671335837664,-15.35371126505649,-1.8046545983278321,-15.608366417802536
