Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
49543,1,Flex,<<,576,60.13,593,544,749,33.13254337949355,66.32000000000001,-3.0940000000000083,1
49652,1,Flex,<<,615,59.34,598,552,759,32.93917949874397,63.7,-2.6200000000000045,1
49762,1,Flex,<<,654,59.34,609,559,771,32.85236972230597,61.660000000000004,-2.039999999999999,1
49871,1,Flex,<<,693,59.43,609,560,771,32.99838058837282,60.272000000000006,-1.3879999999999981,1
49981,1,Flex,<<,732,61.27,608,557,765,32.76025994091699,59.902,-0.37000000000000455,1
73624,1,Flex,>>,2760,247.74,395,336,495,38.212285621454704,253.152,-0.7720000000000482,2
73737,1,Flex,>>,2721,244.4,391,333,494,38.95596812120296,250.762,-2.3899999999999864,2
73848,1,Flex,>>,2682,241.05,394,336,495,39.91620550546886,247.702,-3.0600000000000023,2
73959,1,Flex,>>,2643,237.71,394,335,494,40.91822840187268,244.39600000000002,-3.305999999999983,2
74070,1,Flex,>>,2604,234.46,395,334,495,41.60661556843984,241.07200000000003,-3.323999999999984,2
74180,1,Flex,>>,2565,231.12,395,335,494,42.24308635012111,237.748,-3.3240000000000407,2
74292,1,Flex,>>,2526,227.87,395,335,493,43.690664196507406,234.442,-3.305999999999983,2
74403,1,Flex,>>,2487,224.62,400,333,494,44.92376376727425,231.15600000000003,-3.285999999999973,2
74515,1,Flex,>>,2448,221.36,402,335,495,46.12632197011131,227.88600000000002,-3.2700000000000102,2
74625,1,Flex,>>,2409,218.02,408,335,493,47.594160193887326,224.598,-3.288000000000011,2
74736,1,Flex,>>,2370,214.51,409,332,492,48.32042590770336,221.276,-3.3220000000000027,2
74848,1,Flex,>>,2331,211.16,416,333,493,49.462371727316985,217.93400000000003,-3.3419999999999845,2
74959,1,Flex,>>,2292,207.65,425,334,491,51.46066149394399,214.54000000000002,-3.3940000000000055,2
75070,1,Flex,>>,2253,204.4,432,335,492,52.36964330640271,211.148,-3.3920000000000243,2
75181,1,Flex,>>,2214,201.05,431,331,490,52.65124919223244,207.754,-3.3940000000000055,2
75293,1,Flex,>>,2175,197.8,437,330,494,53.136010043294746,204.412,-3.3419999999999845,2
75404,1,Flex,>>,2136,194.37,442,336,494,53.49742626870067,201.05400000000003,-3.3579999999999757,2
75514,1,Flex,>>,2097,190.86,445,335,499,53.374286285465686,197.696,-3.3580000000000325,2
75625,1,Flex,>>,2058,187.43,449,335,500,53.39196416689501,194.302,-3.3940000000000055,2
75737,1,Flex,>>,2019,184.09,451,334,499,53.252354450286674,190.91000000000003,-3.3919999999999675,2
75849,1,Flex,>>,1980,180.75,455,339,506,52.678557317312425,187.5,-3.410000000000025,2
75961,1,Flex,>>,1941,177.49,459,338,505,52.37069091795345,184.124,-3.3760000000000048,2
76073,1,Flex,>>,1902,174.07,464,338,509,52.26912083176347,180.76600000000002,-3.3579999999999757,2
76185,1,Flex,>>,1863,170.64,464,343,515,51.163643539902736,177.40800000000002,-3.358000000000004,2
76297,1,Flex,>>,1824,167.3,466,354,525,50.19432683682852,174.05,-3.358000000000004,2
76409,1,Flex,>>,1785,163.87,469,358,543,49.85943905611806,170.674,-3.3760000000000048,2
76520,1,Flex,>>,1746,160.53,469,362,557,49.26086367061632,167.282,-3.391999999999996,2
76632,1,Flex,>>,1707,157.27,471,369,571,48.34979108342019,163.922,-3.3600000000000136,2
76743,1,Flex,>>,1668,154.02,470,374,581,47.51623657441487,160.598,-3.323999999999984,2
76855,1,Flex,>>,1629,150.51,478,382,593,46.59264395570916,157.24,-3.358000000000004,2
76967,1,Flex,>>,1590,147.08,477,389,613,45.706424218606784,153.882,-3.358000000000004,2
77078,1,Flex,>>,1551,143.65,478,405,632,44.79415300218412,150.50600000000003,-3.3759999999999764,2
77189,1,Flex,>>,1512,140.48,486,421,646,43.68048926843736,147.148,-3.3580000000000325,2
