Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
64437,6,Extend,<<,-1731,-150.15,365,275,370,20.730703392340757,7.427542446340194,28.15824583868095,-3.319758098329826,52.583818634449216,Extend
64517,4,Extend,<<,-1097,-101.54,366,277,370,19.03443507727119,6.107948567954672,25.142383645225863,-3.319758098329826,52.583818634449216,Extend
64532,5,Extend,<<,-2303,-207.47,367,275,369,19.03443507727119,6.107948567954672,25.142383645225863,-3.336885058228879,52.36089066577686,Extend
64547,6,Extend,<<,-1683,-150.15,368,277,370,18.38563436137581,5.52449188031822,23.91012624169403,-3.319758098329826,52.583818634449216,Extend
64627,4,Extend,<<,-1052,-97.76,369,277,369,17.183091169910917,4.222298044470744,21.40538921438166,-3.336885058228879,52.36089066577686,Extend
64642,5,Extend,<<,-2259,-203.78,368,275,369,17.183091169910917,4.222298044470744,21.40538921438166,-3.336885058228879,52.36089066577686,Extend
64656,6,Extend,<<,-1635,-147.43,368,276,368,16.566284235810773,3.442659534893978,20.00894377070475,-3.354026245634748,52.13571987711944,Extend
64737,4,Extend,<<,-1007,-93.71,370,276,368,15.164642830500703,2.270658497729496,17.4353013282302,-3.354026245634748,52.13571987711944,Extend
64752,5,Extend,<<,-2215,-199.74,370,277,370,14.49829440398172,1.555549656735784,16.053844060717505,-3.319758098329826,52.583818634449216,Extend
64767,6,Extend,<<,-1587,-143.91,370,275,369,14.49829440398172,1.555549656735784,16.053844060717505,-3.336885058228879,52.36089066577686,Extend
64847,4,Extend,<<,-962,-90.02,370,278,370,12.433804750789694,-0.008614103938685,12.425190646851009,-3.319758098329826,52.583818634449216,Extend
64862,5,Extend,<<,-2171,-196.04,372,275,369,12.433804750789694,-0.008614103938685,12.425190646851009,-3.336885058228879,52.36089066577686,Extend
64876,6,Extend,<<,-1539,-140.04,370,276,368,12.433804750789694,-0.008614103938685,12.425190646851009,-3.354026245634748,52.13571987711944,Extend
64957,4,Extend,<<,-917,-86.07,373,277,369,10.771679551511436,-1.6916536112238096,9.080025940287626,-3.336885058228879,52.36089066577686,Extend
64971,5,Extend,<<,-2127,-192.35,373,277,369,10.771679551511436,-1.6916536112238096,9.080025940287626,-3.336885058228879,52.36089066577686,Extend
64986,6,Extend,<<,-1491,-135.91,373,277,366,10.255996762272424,-2.1684217903348624,8.087574971937562,-3.388351302966934,51.67862933260966,Extend
65067,4,Extend,<<,-872,-82.2,373,277,367,9.400205331818835,-3.012617162506814,6.387588169312021,-3.371181660547433,51.908301142730636,Extend
65081,5,Extend,<<,-2083,-188.48,372,277,366,9.004104379393038,-3.4849367573466195,5.519167622046418,-3.388351302966934,51.67862933260966,Extend
65095,6,Extend,<<,-1443,-131.78,374,277,364,9.004104379393038,-3.4849367573466195,5.519167622046418,-3.4227332703263835,51.21250594389575,Extend
