Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
47147,2,Flex,>>,-2362,-195.78,1412,148.83899673424077,165.33685754911167,-185.83,-3.243345348981063,-4.957999999999998,103.0,1
47250,2,Flex,<<,-2362,-200.7,1415,149.16883106936106,165.44454079151137,-190.80599999999998,-3.3301929325603004,-4.975999999999971,103.0,1
47353,2,Flex,<<,-2302,-202.11,1419,149.20070056250373,165.6547509768415,-195.06,-3.4044392389401392,-4.254000000000019,103.0,1
47455,2,Flex,<<,-2242,-202.11,1422,149.20070056250373,165.8098259447291,-198.312,-3.461197346214995,-3.2520000000000095,102.0,1
47557,2,Flex,<<,-2182,-197.98,1425,148.87051675468817,166.14000975254467,-199.73600000000002,-3.4860508347633945,-1.4240000000000066,102.0,1
69993,2,Flex,>>,997,95.21,2098,126.77234383822196,151.10274647518955,103.75399999999999,1.8108489121141964,-1.4599999999999937,22436.0,2
70095,2,Flex,>>,937,89.93,2101,125.3785731286524,149.50743528565886,99.972,1.744840559803771,-3.7819999999999965,102.0,2
70198,2,Flex,>>,877,84.66,2104,124.62519946558908,149.49126931900298,95.15400000000001,1.6607505964426845,-4.817999999999984,103.0,2
70301,2,Flex,>>,817,79.38,2107,124.37849381594503,148.23811349004265,89.932,1.5696095029035404,-5.222000000000008,103.0,2
70403,2,Flex,>>,757,74.2,2110,123.86462295986568,148.01986973701176,84.676,1.4778749974187184,-5.256,102.0,2
70506,2,Flex,>>,697,69.01,2113,123.09745023777964,147.14684763276196,79.436,1.3864197446142157,-5.239999999999995,103.0,2
70608,2,Flex,>>,637,63.82,2116,122.51101212946428,147.0947570770121,74.214,1.2952786510750718,-5.222000000000008,102.0,2
70710,2,Flex,>>,577,58.64,2119,121.61710113701405,147.13217233329337,69.01,1.204451716801287,-5.2039999999999935,102.0,2
70813,2,Flex,>>,517,53.36,2122,121.41264033053396,146.56919897844665,63.806,1.1136247825275019,-5.204000000000008,103.0,2
70915,2,Flex,>>,457,48.0,2125,120.62664493055794,146.3534372337028,58.565999999999995,1.022169529722999,-5.240000000000002,102.0,2
71017,2,Flex,>>,397,42.9,2128,120.89095731459796,145.74108080939837,53.34400000000001,0.9310284361838553,-5.221999999999987,102.0,2
71120,2,Flex,>>,337,37.63,2132,121.41264033053396,145.67136922348885,48.106,0.8396080899643922,-5.238000000000007,103.0,2
71222,2,Flex,>>,277,32.35,2135,121.54106374878766,146.04838603882774,42.848,0.7478386778945303,-5.258000000000003,102.0,2
71325,2,Flex,>>,217,27.08,2138,121.79636251569562,147.30050751510498,37.592,0.6561041724097083,-5.256,103.0,2
71427,2,Flex,>>,157,21.71,2141,122.89991357880152,146.9371411668945,32.333999999999996,0.5643347603398464,-5.258000000000003,102.0,2
71529,2,Flex,>>,97,16.53,2144,122.50917095666397,148.11538265729897,27.060000000000002,0.4722860955896656,-5.273999999999994,102.0,2
71631,2,Flex,>>,37,11.25,2147,123.28416578843762,148.24490991045897,21.784000000000002,0.3802025242544448,-5.276,102.0,2
71733,2,Flex,>>,-23,6.07,2150,124.65917986508543,147.76459147902813,16.528,0.28846801876962275,-5.256000000000004,102.0,2
