Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
59930,5,Extend,>>,-1655,-138.11,1796,156.0599816245473,179.05861083022862,-131.692,-2.298458998536373,-3.1820000000000164,103.0,1
60033,5,Extend,>>,-1692,-141.36,1799,155.093746443912,178.99959330213966,-134.892,-2.354309534600191,-3.1999999999999886,103.0,1
60136,5,Extend,>>,-1729,-144.53,1802,154.78418224166128,179.05142983705267,-138.10999999999999,-2.410474229929368,-3.2179999999999893,103.0,1
60239,5,Extend,>>,-1766,-147.6,1805,154.74683660542613,178.0107201272503,-141.31,-2.4663247659931873,-3.200000000000017,103.0,1
60341,5,Extend,>>,-1803,-150.77,1808,154.32458580290336,178.46709121830392,-144.474,-2.5215469835262874,-3.1639999999999873,102.0,1
60444,5,Extend,>>,-1840,-153.85,1811,154.2958368682684,178.34531751562292,-147.622,-2.5764899483790695,-3.1480000000000246,103.0,1
60546,5,Extend,>>,-1877,-157.19,1814,153.66252685246826,178.51374025475087,-150.788,-2.63174707249721,-3.165999999999997,102.0,1
60649,5,Extend,>>,-1914,-160.53,1817,153.61370265452615,178.3460734529714,-153.988,-2.687597608561028,-3.1999999999999886,103.0,1
60752,5,Extend,>>,-1951,-163.69,1820,153.02828213804216,178.217350907432,-157.206,-2.7437623038902057,-3.2179999999999893,103.0,1
60855,5,Extend,>>,-1988,-166.68,1824,153.34429101960268,177.97984508861927,-160.388,-2.7992986806886653,-3.1820000000000164,103.0,1
60958,5,Extend,>>,-2025,-169.76,1827,153.34429101960268,177.51603581964451,-163.57,-2.854835057487125,-3.181999999999988,103.0,1
61060,5,Extend,<<,-2025,-172.92,1830,152.70926527955154,178.61487082867058,-166.716,-2.9097431157548668,-3.146000000000015,102.0,1
61164,5,Extend,<<,-1988,-173.98,1833,152.70926527955154,178.38675221826446,-169.406,-2.956692472633514,-2.6899999999999977,104.0,1
61267,5,Extend,<<,-1951,-174.07,1836,153.2919510372381,177.58743958303123,-171.482,-2.9929255079049164,-2.0759999999999934,103.0,1
61369,5,Extend,<<,-1914,-171.87,1839,152.95838591731714,177.6871610714852,-172.51999999999998,-3.011042025540617,-1.0379999999999825,102.0,1
83760,5,Extend,>>,47,8.62,2511,173.63197175698366,174.66865777547022,13.959999999999999,0.2436479635784084,-0.844000000000003,22391.0,2
83863,5,Extend,>>,10,5.54,2514,175.49696109734535,174.07541801801753,11.639999999999999,0.20315632493213995,-2.3200000000000003,103.0,2
83965,5,Extend,>>,-27,2.29,2517,177.02459403650948,173.5241765483133,8.669999999999998,0.15132004614790834,-2.9700000000000006,102.0,2
84067,5,Extend,>>,-64,-0.97,2520,178.51972936578616,172.92883007516605,5.47,0.09546951008408983,-3.1999999999999984,102.0,2
84169,5,Extend,>>,-101,-4.22,2523,179.8459334410606,171.52585013155417,2.252,0.0393048147549123,-3.218,102.0,2
84272,5,Extend,>>,-138,-7.38,2526,179.29733497208545,170.68841173700886,-0.9479999999999998,-0.01654572130890624,-3.1999999999999997,103.0,2
84374,5,Extend,>>,-175,-10.73,2529,177.8321578341161,171.01779290770153,-4.202,-0.07333873516880172,-3.254,102.0,2
84476,5,Extend,>>,-212,-13.89,2532,177.45147572165342,170.1018247331257,-7.438,-0.12981758976333824,-3.2359999999999998,102.0,2
84579,5,Extend,>>,-249,-17.05,2535,176.678524236654,169.69515353123398,-10.654,-0.18594737850747586,-3.216,103.0,2
84681,5,Extend,>>,-286,-20.22,2538,176.1726685374768,169.90542490966925,-13.854000000000003,-0.24179791457129446,-3.200000000000003,102.0,2
84783,5,Extend,>>,-323,-23.47,2541,176.25386050106022,169.25546474598298,-17.072,-0.2979626099004719,-3.2179999999999964,102.0,2
84886,5,Extend,>>,-360,-26.73,2545,175.9893609410492,169.5910537094164,-20.272,-0.3538131459642905,-3.1999999999999993,103.0,2
84988,5,Extend,>>,-397,-29.8,2548,176.60009822392024,169.4100336173457,-23.454,-0.40934952276275005,-3.182000000000002,102.0,2
85090,5,Extend,>>,-434,-33.05,2551,177.02762311335363,169.6594279457256,-26.653999999999996,-0.4652000588265685,-3.1999999999999957,102.0,2
85192,5,Extend,>>,-471,-36.31,2554,178.1470871821517,169.20610488971613,-29.872000000000003,-0.5213647541557462,-3.218000000000007,102.0,2
85294,5,Extend,>>,-508,-39.47,2557,178.31520538315894,169.46244916807962,-33.072,-0.5772152902195647,-3.1999999999999993,102.0,2
85397,5,Extend,>>,-545,-42.64,2560,178.2564919996845,170.44158009021464,-36.254000000000005,-0.6327516670180243,-3.182000000000002,103.0,2
85498,5,Extend,>>,-582,-45.8,2563,179.3004388932291,169.84158641994358,-39.45399999999999,-0.6886022030818426,-3.1999999999999886,101.0,2
85601,5,Extend,>>,-619,-49.05,2566,179.3196893503996,170.92620769688924,-42.653999999999996,-0.7444527391456612,-3.200000000000003,103.0,2
85703,5,Extend,>>,-656,-52.31,2569,178.94924874052876,170.56758273993498,-45.854,-0.8003032752094799,-3.200000000000003,102.0,2
85806,5,Extend,>>,-693,-55.47,2572,177.9158388084913,170.9906010861785,-49.054,-0.8561538112732985,-3.200000000000003,103.0,2
85908,5,Extend,>>,-730,-58.55,2575,177.31290582372952,172.19316919950273,-52.236000000000004,-0.9116901880717581,-3.182000000000002,102.0,2
86010,5,Extend,>>,-767,-61.63,2578,175.13199679060196,171.7253940946947,-55.402,-0.9669473121898985,-3.165999999999997,102.0,2
86113,5,Extend,>>,-804,-64.97,2581,173.38222970566753,172.68468034188768,-58.586,-1.022518595573398,-3.1839999999999975,103.0,2
86215,5,Extend,>>,-841,-68.13,2584,171.76784283573062,173.8332560981581,-61.75,-1.0777408131064985,-3.1640000000000015,102.0,2
86317,5,Extend,>>,-878,-71.3,2587,170.49754767805803,174.47774446182387,-64.916,-1.1329979372246388,-3.165999999999997,102.0,2
86420,5,Extend,>>,-915,-74.46,2591,169.7969677171082,175.85978487189655,-68.098,-1.1885343140230986,-3.182000000000002,103.0,2
86522,5,Extend,>>,-952,-77.71,2594,168.67016650957575,176.20043021002647,-71.314,-1.244664102767236,-3.215999999999994,102.0,2
86624,5,Extend,>>,-989,-80.88,2597,166.98922835634818,176.95890031002332,-74.49600000000001,-1.3002004795656958,-3.1820000000000164,102.0,2
86727,5,Extend,>>,-1026,-83.96,2600,165.86602173915185,177.8415423487128,-77.662,-1.3554576036838364,-3.165999999999997,103.0,2
86829,5,Extend,>>,-1063,-87.12,2603,163.25457893333356,177.6448737262925,-80.826,-1.4106798212169367,-3.1639999999999873,102.0,2
86931,5,Extend,>>,-1100,-90.46,2606,161.4363106094703,177.57767810819243,-84.02599999999998,-1.466530357280755,-3.1999999999999886,102.0,2
87033,5,Extend,>>,-1137,-93.8,2609,161.13053297696476,178.7691251920066,-87.244,-1.5226950526099328,-3.2180000000000177,102.0,2
87135,5,Extend,>>,-1174,-96.97,2612,159.8946652463029,179.5608235182893,-90.46199999999999,-1.5788597479391102,-3.2179999999999893,102.0,2
87239,5,Extend,>>,-1211,-100.13,2615,158.93503046300464,179.71483369151673,-93.696,-1.635303695948607,-3.234000000000009,104.0,2
87341,5,Extend,>>,-1248,-103.21,2618,158.24020123222311,179.2270248556861,-96.914,-1.6914683912777846,-3.2180000000000035,102.0,2
87445,5,Extend,>>,-1285,-106.37,2621,157.26475786848007,178.71175233973298,-100.096,-1.7470047680762442,-3.182000000000002,104.0,2
87547,5,Extend,>>,-1322,-109.45,2624,156.5272493112629,178.59147656231298,-103.226,-1.8016335736636666,-3.1299999999999955,102.0,2
87650,5,Extend,>>,-1359,-112.97,2627,156.20198175703126,178.20142333736476,-106.426,-1.8574841097274852,-3.200000000000003,103.0,2
87752,5,Extend,>>,-1396,-116.22,2630,155.4533009840802,178.4282540851819,-109.644,-1.9136488050566627,-3.2180000000000035,102.0,2
87856,5,Extend,>>,-1433,-119.47,2634,154.63613160344116,178.1838249608277,-112.896,-1.9704069123315182,-3.2519999999999953,104.0,2
87958,5,Extend,>>,-1470,-122.64,2637,154.0343195016406,177.9102757327413,-116.15,-2.0271999261914138,-3.254000000000005,102.0,2
88061,5,Extend,>>,-1507,-125.8,2640,154.2464495066339,177.32674268545276,-119.42,-2.0842721927316283,-3.269999999999996,103.0,2
88164,5,Extend,>>,-1544,-128.88,2643,153.6154642291488,177.49112925067593,-122.602,-2.139808569530088,-3.182000000000002,103.0,2
88266,5,Extend,>>,-1581,-132.04,2646,153.63810834152324,177.29664655320758,-125.76599999999999,-2.1950307870631884,-3.1639999999999873,102.0,2
88369,5,Extend,>>,-1618,-135.47,2649,153.54631514148676,177.17594767500017,-128.96599999999998,-2.2508813231270066,-3.1999999999999886,103.0,2
